LEI_Code,NSA,Period,Item,Label,Amount,n_quarters
0SK1ILSPWNVBNQWU0W18,DE,201512,1620101,OWN FUNDS,3747.0279852,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620102,COMMON EQUITY TIER 1 CAPITAL (net of deductions and after applying transitional adjustments),3231.5809328,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620103,Capital instruments eligible as CET1 Capital (including share premium and net own capital instruments),250,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620104,Retained earnings,2464.4267897,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620105,Accumulated other comprehensive income,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620106,Other Reserves,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620107,Funds for general banking risk,530,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620108,Minority interest given recognition in CET1 capital,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620109,Adjustments to CET1 due to prudential filters,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620110,(-) Intangible assets (including Goodwill),-12.8458569,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620111,(-) DTAs that rely on future profitability and do not arise from temporary differences net of associated DTLs,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620112,(-) IRB shortfall of credit risk adjustments to expected losses,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620113,(-) Defined benefit pension fund assets,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620114,(-) Reciprocal cross holdings in CET1 Capital,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620115,(-) Excess deduction from AT1 items over AT1 Capital,-7.70751414,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620116,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620117,(-) Deductions related to assets which can alternatively be subject to a 1.250% risk weight - Of which: from securitisation positions (-),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620118,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution does not have a significant investment,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620119,(-) Deductible DTAs that rely on future profitability and arise from temporary differences,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620120,(-) Holdings of CET1 capital instruments of financial sector entities where the institiution has a significant investment,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620121,(-) Amount exceding the 17.65% threshold,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620122,(-) Additional deductions of CET1 Capital due to Article 3 CRR,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620123,CET1 capital elements or deductions - other,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620124,Transitional adjustments,7.70751414,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620125,Transitional adjustments due to grandfathered CET1 Capital instruments (+/-),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620126,Transitional adjustments due to additional minority interests (+/-),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620127,Other transitional adjustments to CET1 Capital (+/-),7.70751414,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620128,ADDITIONAL TIER 1 CAPITAL (net of deductions and after transitional adjustments),0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620129,Additional Tier 1 Capital instruments,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620130,(-) Excess deduction from T2 items over T2 capital,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620131,Other Additional Tier 1 Capital components and deductions,7.70751414,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620132,Additional Tier 1 transitional adjustments,-7.70751414,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620133,TIER 1 CAPITAL (net of deductions and after transitional adjustments),3231.5809328,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620134,TIER 2 CAPITAL (net of deductions and after transitional adjustments),515.44705244,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620135,Tier 2 Capital instruments,415.44705244,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620136,Other Tier 2 Capital components and deductions,100,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620137,Tier 2 transitional adjustments,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620138,TOTAL RISK EXPOSURE AMOUNT,19725.9741,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620139,TOTAL RISK EXPOSURE AMOUNT - Of which: Transitional adjustments included,0,4
0SK1ILSPWNVBNQWU0W18,DE,201512,1620140,COMMON EQUITY TIER 1 CAPITAL RATIO (transitional period),0.1638236427,4
